Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
pricingcall,9,0.00152,0.01209,0.01054,0.62288,0.87659,0.88126,0.16216,0.25723,0.34358,0.08184,0.13466,0.09143499999999999,5.24,1.31,4.6,16.45,5.61,0.27273,0.51239,0.0,0.46518,0.00705,0.31563
twolocalrandom,11,0.0,0.0,0.0,0.45606,0.86772,0.8125,0.46088,0.63198,0.75152,0.23044,0.31599,0.37595,5.67,11.21,22.56,1.17,10.25,0.6227,0.46106,0.00038,0.8125,0.00038,0.75152
wstate,10,0.54872,0.67285,0.69269,0.78313,0.91,0.88387,0.38889,0.38889,0.46465,0.468805,0.53087,0.547975,0.39,0.2,5.62,1.29,13.17,0.33333,0.85906,0.10725,0.61024,0.36264,0.38889
graphstate,10,0.27837,0.54889,0.52083,0.43802,0.90805,0.91667,0.19118,0.25,0.4,0.234775,0.399445,0.460415,11.62,0.33,2.11,1.14,2.43,0.4,0.91667,0.52083,0.91667,0.52083,0.4
ghz,19,0.43999,0.26123,0.33143,0.55,0.92373,0.87838,0.0,0.0,0.41667,0.219995,0.130615,0.393785,0.88,0.19,6.99,3.11,2.36,0.45614,0.27848,0.17373,0.13253,0.02211,0.0
qftentangled,12,0.0034,0.00074,0.02995,0.47265,0.86685,0.85572,0.47074,0.5522,0.74318,0.23707,0.27647,0.36866000000000004,0.35,7.46,14.43,4.22,3.14,0.70725,0.37031,0.0,0.23602,0.0,0.58163
ae,10,0.07293,0.00085,0.03333,0.57522,0.86786,0.87377,0.27604,0.44444,0.54167,0.174485,0.222645,0.276705,0.26,6.13,13.98,0.09,4.14,0.48193,0.72964,4e-05,0.39749,0.00738,0.46667
qaoa,15,0.08511,0.03815,0.13758,0.68783,0.87723,0.87466,0.76271,0.71795,0.74227,0.42391,0.37805,0.39762000000000003,0.2,0.68,2.54,1.12,3.1,0.65766,0.69672,1e-05,0.30466,0.0,0.47826
qaoa,14,0.12821,0.02419,0.15119,0.7156,0.8766,0.86519,0.78495,0.62069,0.75355,0.45658,0.32244,0.357305,0.14,0.85,3.02,1.3,4.12,0.66393,0.66111,3e-05,0.36061,0.0,0.52459
ghz,18,0.48053,0.26829,0.40171,0.55263,0.92377,0.85976,0.0,0.0,0.47208,0.240265,0.134145,0.421935,0.66,0.37,2.66,1.27,3.29,0.45763,0.2625,0.00593,0.09633,0.0,0.42857
qftentangled,13,9e-05,7e-05,0.01698,0.48897,0.86609,0.86684,0.47273,0.70694,0.76568,0.23640999999999998,0.353505,0.37676,1.21,5.98,18.61,1.09,1.23,0.70721,0.37377,0.0,0.24124,0.0,0.60847
ae,11,0.00224,0.00155,0.00614,0.61815,0.86755,0.87165,0.35656,0.45769,0.50909,0.1794,0.22962,0.25583,1.24,10.55,17.22,8.09,0.61,0.40574,0.82877,0.00257,0.87165,0.00257,0.50909
graphstate,11,0.2385,0.26592,0.48794,0.51449,0.8817,0.91667,0.46269,0.60377,0.71613,0.350595,0.43484500000000004,0.516695,0.38,0.3,15.92,6.73,1.86,0.54545,0.91667,0.0183,0.41509,0.48794,0.54545
qaoa,3,0.73411,0.41461,0.71515,0.73529,0.88079,0.91667,0.0,0.0,0.0,0.367055,0.207305,0.383955,0.18,0.14,7.66,1.19,2.49,0.0,0.73913,0.67895,0.72857,0.67611,0.0
wstate,11,0.41543,0.62863,0.31429,0.78261,0.90991,0.88372,0.4,0.4,0.4,0.40771500000000005,0.5143150000000001,0.54068,0.76,0.24,1.86,11.92,1.8,0.49398,0.67451,0.32417,0.88372,0.32417,0.4
qft,11,0.00021,0.00065,0.03474,0.45591,0.8654,0.84812,0.48318,0.56196,0.672,0.241695,0.281305,0.336845,2.26,10.66,11.36,1.54,1.02,0.47744,0.74811,0.00169,0.84812,0.00169,0.672
twolocalrandom,10,0.00457,1e-05,0.01103,0.65243,0.86817,0.81379,0.52571,0.60264,0.72593,0.26514,0.30132499999999995,0.363745,15.97,6.63,11.18,1.15,1.06,0.53668,0.24709,0.00156,0.81379,0.00156,0.72593
dj,12,0.43048,0.45443,0.27827,0.63333,0.87455,0.89096,0.09091,0.11429,0.48804,0.260695,0.28436,0.41282,0.26,0.34,10.22,2.13,13.51,0.54737,0.4837,0.00595,0.28179,2e-05,0.19512
ae,5,0.48823,0.31907,0.52033,0.75207,0.88176,0.89362,0.06667,0.05714,0.1,0.27745,0.18810500000000002,0.420915,0.81,0.25,9.43,1.43,0.73,0.1,0.64789,0.31086,0.89362,0.31086,0.1
vqe,7,0.60351,0.76201,0.71906,0.87879,0.92357,0.86364,0.33333,0.33333,0.33333,0.46842,0.54767,0.554625,0.26,0.13,2.4,1.71,1.57,0.33333,0.90323,0.23719,0.93846,0.52938,0.33333
twolocalrandom,3,0.72011,0.39961,0.77291,0.75904,0.89231,0.85,0.0,0.0,0.37931,0.360055,0.199805,0.386455,0.4,0.11,1.71,12.44,4.81,0.0,0.73913,0.11578,0.42,0.63045,0.0
su2random,9,0.01914,0.00016,0.00077,0.64797,0.87026,0.85185,0.44407,0.49096,0.69444,0.231605,0.24556,0.349145,5.41,1.35,3.04,2.27,12.11,0.57632,0.22744,0.00385,0.85185,0.00385,0.69444
dj,2,0.97213,0.94496,0.9785,0.9,0.92308,0.94118,0.0,0.0,0.0,0.486065,0.47248,0.402115,0.09,0.04,1.33,12.08,0.04,0.0,0.90909,0.97928,0.96875,0.93222,0.0
realamprandom,11,0.0,0.0,0.00031,0.45606,0.86772,0.8125,0.46088,0.63198,0.75152,0.23044,0.31599,0.37595,4.63,11.36,3.48,2.05,1.6,0.56285,0.20709,0.00038,0.8125,0.00038,0.75152
qpeinexact,12,0.01438,8e-05,0.00475,0.52531,0.86671,0.86957,0.40922,0.53935,0.625,0.2118,0.269715,0.30548000000000003,3.3,9.71,13.9,4.99,3.99,0.51701,0.32258,0.0,0.27711,0.0,0.49758
graphstate,8,0.61978,0.36999,0.59341,0.71429,0.89474,0.92529,0.55,0.55,0.625,0.58489,0.45999500000000004,0.609205,0.15,0.21,2.23,3.48,2.66,0.625,0.91667,0.59341,0.91667,0.05274,0.53846
qpeexact,18,0.0,0.0,0.0,0.5,0.86427,0.8672,0.5775,0.60111,0.69316,0.28875,0.300555,0.300285,4.07,3.6,14.71,17.4,4.13,0.58883,0.60804,0.0,0.25186,0.0,0.57498
portfoliovqe,5,0.37596,0.11216,0.39533,0.67932,0.87054,0.89831,0.11842,0.25287,0.43333,0.24719000000000002,0.18251499999999998,0.300425,0.5,0.42,7.11,1.71,1.83,0.26667,0.63265,0.16752,0.89831,0.16752,0.43333
qaoa,13,0.08685,0.14844,0.25189,0.68454,0.88527,0.87411,0.65,0.71642,0.74514,0.368425,0.43243,0.40438,0.47,0.58,4.54,3.79,16.73,0.62353,0.72222,0.00011,0.3231,0.0,0.56452
wstate,15,0.32502,0.39363,0.41385,0.78125,0.90968,0.88333,0.42857,0.42857,0.53982,0.376795,0.4111,0.411215,1.41,0.31,3.46,4.04,4.61,0.37209,0.82158,0.00224,0.51502,0.01146,0.42857
realamprandom,9,0.01915,0.00016,0.00938,0.63892,0.86868,0.86528,0.44407,0.49096,0.69444,0.23161,0.24556,0.35002999999999995,2.86,1.25,7.33,8.68,2.78,0.48955,0.31352,0.00562,0.81538,0.0,0.50336
qpeexact,8,0.09983,0.01791,0.11885,0.49231,0.87167,0.85393,0.31515,0.29221,0.4,0.20749,0.15506,0.21732500000000002,12.4,0.81,4.1,1.25,2.54,0.42703,0.41824,0.03465,0.85393,0.03465,0.4
dj,8,0.44323,0.51734,0.63841,0.49485,0.8797,0.92947,0.02041,0.0,0.46392,0.23182,0.25867,0.47745499999999996,0.38,0.41,2.65,8.5,24.28,0.0,0.91358,0.19053,0.4581,0.05277,0.0
qpeinexact,15,0.00011,0.0,0.00037,0.49387,0.86511,0.86782,0.48788,0.50761,0.70009,0.243995,0.253805,0.28852,4.51,2.45,11.49,6.2,6.0,0.59704,0.66233,0.0,0.26186,0.0,0.49863
routing,2,0.92513,0.916,0.91063,0.85714,0.89286,0.96154,0.0,0.0,0.0,0.462565,0.458,0.468165,0.4,0.03,3.37,0.72,14.9,0.0,0.93333,0.49853,0.96154,0.49853,0.0
qft,6,0.40354,0.31579,0.47535,0.58621,0.87024,0.84884,0.22222,0.26667,0.46154,0.31288,0.29123,0.298855,0.14,0.36,18.22,0.53,2.2,0.26087,0.46094,0.13617,0.84884,0.13617,0.46154
ghz,4,0.88868,0.89451,0.85522,0.7,0.92683,0.93023,0.0,0.0,0.0,0.44434,0.447255,0.44692,0.11,0.07,2.64,0.49,4.65,0.0,0.85714,0.89384,0.7,0.52167,0.0
dj,11,0.37968,0.35945,0.5277,0.61719,0.87611,0.8913,0.0,0.0,0.32877,0.18984,0.179725,0.41486999999999996,0.33,0.35,1.58,3.12,1.23,0.0,0.91304,0.35707,0.5,0.0,0.42
qft,5,0.45349,0.55655,0.62828,0.58333,0.87423,0.85143,0.1,0.17073,0.34615,0.276745,0.36363999999999996,0.36092,0.35,0.39,4.67,1.24,1.32,0.19512,0.50602,0.26261,0.85143,0.26261,0.34615
wstate,6,0.78541,0.78844,0.56787,0.78723,0.91071,0.95169,0.3,0.3,0.3,0.542705,0.54422,0.44616,0.2,0.15,4.1,1.39,0.17,0.3,0.88506,0.56787,0.88506,0.21177,0.3
