Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
qpeinexact,7,0.32817,0.24162,0.29824,0.59113,0.87376,0.85387,0.18072,0.27451,0.44633,0.25444500000000003,0.258065,0.241805,1.07,0.48,3.49,0.6,1.35,0.28571,0.50237,0.00767,0.37456,0.07152,0.35294
qftentangled,15,5e-05,0.0,0.00508,0.3998,0.86611,0.8553,0.59022,0.60719,0.72309,0.295135,0.303595,0.3748,1.28,6.14,8.43,3.72,1.55,0.72106,0.74368,0.0,0.23699,0.0,0.73197
qaoa,5,0.41606,0.21715,0.62471,0.72174,0.8731,0.9357,0.40625,0.28,0.4,0.411155,0.24857500000000002,0.460415,0.21,0.24,3.67,4.83,1.48,0.24138,0.74561,0.52083,0.91667,0.00795,0.34211
graphstate,17,0.16194,0.04897,0.24663,0.56897,0.88316,0.84615,0.42667,0.51948,0.75524,0.294305,0.284225,0.35906,1.58,0.46,5.95,2.34,2.43,0.51087,0.62449,0.0,0.85212,0.00019,0.54412
ghz,19,0.43999,0.26123,0.34138,0.55,0.92373,0.87204,0.0,0.0,0.42,0.219995,0.130615,0.393785,1.79,0.2,4.7,3.11,1.71,0.40909,0.25,0.15279,0.12791,0.0058,0.22222
su2random,8,0.00762,0.00078,0.02431,0.44928,0.87207,0.82927,0.34539,0.48333,0.65476,0.176505,0.242055,0.33544,2.46,1.04,6.27,1.18,8.82,0.4214,0.31264,0.01612,0.82927,0.01612,0.65476
qpeexact,8,0.12194,0.01795,0.11885,0.53521,0.86971,0.85393,0.22727,0.29221,0.4,0.174605,0.15508000000000002,0.313045,1.14,0.81,7.05,1.47,8.28,0.42703,0.41824,0.03465,0.85393,0.03465,0.4
wstate,17,0.29124,0.21923,0.33728,0.78082,0.9096,0.88321,0.4375,0.4375,0.57721,0.36436999999999997,0.328365,0.439995,2.14,0.34,5.77,1.87,10.15,0.50847,0.79298,0.00084,0.50183,0.00466,0.4375
vqe,18,0.27046,0.16932,0.30421,0.85714,0.91885,0.92308,0.44118,0.44118,0.56026,0.35582,0.30525,0.44445,2.0,0.36,5.32,2.15,9.97,0.55224,0.76655,0.00056,0.48403,0.0025,0.44118
graphstate,19,0.14805,0.25134,0.22161,0.51648,0.89301,0.90962,0.57955,0.5102,0.7994,0.3638,0.38077,0.45061,0.24,0.71,3.22,6.92,2.35,0.67961,0.62409,0.00081,0.3626,0.0,0.59574
dj,14,0.3918,0.35471,0.28036,0.67333,0.8739,0.87761,0.08163,0.06977,0.41989,0.23671499999999998,0.21224,0.387895,0.69,0.33,3.21,3.04,2.29,0.65934,0.545,0.00456,0.37586,3e-05,0.52439
ae,3,0.91888,0.68565,0.67788,0.81081,0.89888,0.91549,0.0,0.0,0.0,0.45944,0.342825,0.439485,0.07,0.11,1.61,1.3,103.41,0.0,0.91549,0.23865,0.96618,0.67788,0.0
twolocalrandom,5,0.42466,0.11178,0.39771,0.64444,0.87729,0.82857,0.125,0.25287,0.43333,0.27483,0.182325,0.33137,0.98,0.43,1.36,2.26,3.87,0.26667,0.48571,0.22941,0.82857,0.22941,0.43333
qpeinexact,14,0.00024,1e-05,1e-05,0.42985,0.86538,0.86864,0.49738,0.51969,0.55665,0.24881,0.25984999999999997,0.30527,3.4,18.55,27.44,5.23,10.08,0.52459,0.53851,0.0,0.86576,0.0,0.50336
portfoliovqe,4,0.50175,0.24962,0.64935,0.73626,0.87919,0.9011,0.125,0.0,0.27778,0.313375,0.12481,0.307825,0.46,0.29,5.72,2.65,2.41,0.0,0.81443,0.33787,0.9011,0.33787,0.27778
portfoliovqe,11,0.0,0.0,0.00026,0.58961,0.8648,0.89286,0.45886,0.63198,0.75152,0.22943,0.31599,0.375795,3.57,11.74,150.13,10.04,1.64,0.56885,0.47974,7e-05,0.89286,7e-05,0.75152
dj,4,0.64573,0.64459,0.93699,0.875,0.90323,0.90909,0.0,0.0,0.48485,0.322865,0.322295,0.53469,0.33,0.06,6.05,1.54,7.47,0.0,0.88889,0.08362,0.27737,0.82875,0.0
pricingput,9,0.00124,0.00064,0.00033,0.62959,0.87431,0.92975,0.17201,0.30303,0.33731,0.086625,0.151835,0.170345,10.55,1.46,5.04,11.42,5.7,0.17763,0.86194,0.0,0.44623,0.0,0.28239
portfoliovqe,3,0.71932,0.40149,0.76962,0.79798,0.87861,0.94309,0.0,0.0,0.38462,0.35966,0.200745,0.388835,1.02,0.13,6.96,4.74,8.66,0.0,0.84211,0.26559,0.5,0.05986,0.0
qaoa,15,0.08511,0.03815,0.10656,0.68783,0.87723,0.86613,0.76271,0.71795,0.75887,0.42391,0.37805,0.36103500000000005,1.01,0.69,5.71,6.4,3.73,0.58824,0.625,1e-05,0.31136,0.0,0.57265
wstate,13,0.43792,0.57026,0.58453,0.78182,0.90977,0.8835,0.41667,0.41667,0.56349,0.427295,0.493465,0.50666,0.57,0.26,5.6,5.44,3.31,0.37037,0.86294,0.05716,0.62048,0.03016,0.41667
twolocalrandom,8,0.02216,0.00078,0.00203,0.59655,0.86974,0.81739,0.37607,0.48333,0.65476,0.19911500000000001,0.242055,0.336145,7.48,1.05,3.94,1.97,4.0,0.43713,0.25112,0.01753,0.81739,0.01753,0.65476
qpeinexact,13,0.00025,1e-05,0.0032,0.44695,0.86594,0.86432,0.53673,0.49806,0.62667,0.26849,0.249035,0.2977,1.93,2.22,20.48,5.24,23.57,0.56396,0.62142,0.0,0.27885,0.0,0.53891
ghz,6,0.85826,0.83376,0.77459,0.64286,0.92537,0.92754,0.0,0.0,0.0,0.42913,0.41688,0.343125,0.07,0.06,5.34,1.63,2.94,0.0,0.84848,0.68659,0.64286,0.36808,0.0
dj,17,0.15034,0.25068,0.09633,0.54106,0.87327,0.87422,0.33684,0.14545,0.4375,0.24358999999999997,0.198065,0.35203,0.16,0.4,6.81,4.21,2.43,0.60773,0.38851,0.0,0.87045,0.0,0.31405
twolocalrandom,12,1e-05,0.0,0.00094,0.58373,0.86617,0.86297,0.54023,0.61356,0.76992,0.27011999999999997,0.30678,0.349615,13.2,8.08,6.41,6.17,4.33,0.61013,0.20523,0.0,0.17004,0.0,0.57565
ghz,2,0.95696,0.93729,0.96732,0.83333,0.93333,0.94118,0.0,0.0,0.0,0.47848,0.468645,0.47212,0.02,0.03,2.43,1.25,2.21,0.0,0.83333,0.92393,0.97368,0.73756,0.0
qft,3,0.88352,0.60381,0.84839,0.58621,0.8835,0.9447,0.0,0.0,0.5,0.44176,0.301905,0.312755,0.11,0.12,23.4,8.4,9.91,0.0,0.58621,0.30883,0.34545,0.16748,0.0
graphstate,4,0.84798,0.66442,0.77033,0.85,0.89474,0.92754,0.33333,0.1,0.375,0.5906549999999999,0.38221,0.510165,0.09,0.12,1.77,3.9,4.81,0.25,0.91667,0.76183,0.71429,0.24267,0.3
qft,10,0.07554,0.00072,0.1054,0.51325,0.86621,0.84783,0.36139,0.41581,0.64762,0.218465,0.208265,0.32616999999999996,1.81,6.18,5.32,4.9,3.22,0.55967,0.3925,0.00472,0.84783,0.00472,0.64762
qaoa,11,0.08284,0.05145,0.22018,0.61074,0.87611,0.91667,0.68103,0.67347,0.72727,0.381935,0.36246,0.48267499999999997,0.56,0.51,5.57,1.9,0.05,0.67227,0.61111,0.23808,0.91667,0.23808,0.72727
qpeinexact,4,0.73056,0.39213,0.7591,0.69841,0.88406,0.86239,0.0,0.0,0.33333,0.36528,0.196065,0.46747,0.29,0.15,1.75,1.54,20.12,0.0,0.65,0.375,0.69595,0.45273,0.0
groundstate,4,0.63197,0.40642,0.74162,0.7619,0.88202,0.9404,0.16667,0.0,0.25,0.39932,0.20321,0.417775,0.59,0.17,9.63,3.13,1.59,0.0,0.87425,0.45236,0.91892,0.01178,0.13889
graphstate,14,0.23192,0.45223,0.48954,0.5302,0.88814,0.84286,0.47143,0.46,0.77043,0.351675,0.45611500000000005,0.489205,0.56,0.39,20.05,3.28,3.57,0.64286,0.7931,0.002,0.35264,0.00124,0.65909
qaoa,6,0.40341,0.10552,0.45712,0.70213,0.875,0.91667,0.54762,0.4127,0.58333,0.475515,0.25911,0.520225,0.55,0.28,8.13,2.24,2.05,0.58333,0.91667,0.45712,0.91667,0.45712,0.58333
vqe,9,0.58183,0.69833,0.72594,0.87402,0.92118,0.86207,0.375,0.375,0.375,0.478415,0.536665,0.38795999999999997,0.39,0.16,17.73,1.97,1.19,0.31579,0.85821,0.52966,0.9,0.42974,0.375
pricingcall,11,1e-05,0.00057,0.0,0.59951,0.87591,0.86349,0.35234,0.28037,0.42155,0.176175,0.14047,0.195275,0.72,2.04,26.17,2.79,5.39,0.25849,0.87401,0.0,0.42096,2e-05,0.24757
wstate,14,0.35069,0.55115,0.52598,0.78151,0.90972,0.88341,0.42308,0.42308,0.61842,0.38688500000000003,0.487115,0.43540500000000004,0.44,0.27,3.43,3.46,16.44,0.34483,0.86385,0.01364,0.59467,0.0193,0.42308
pricingcall,7,0.05409,0.00443,0.00455,0.66847,0.87641,0.86272,0.17391,0.19712,0.16667,0.114,0.10077499999999999,0.08561,3.83,0.85,1.82,2.72,14.3,0.16667,0.86272,0.00455,0.86272,0.00455,0.16667
qgan,8,0.25284,0.07089,0.39438,0.70909,0.87163,0.90909,0.275,0.41,0.53571,0.26392000000000004,0.240445,0.35447,1.93,0.62,18.45,1.71,2.23,0.45455,0.54167,0.17323,0.90909,0.17323,0.53571
qft,14,1e-05,0.0,0.00537,0.48054,0.86552,0.86878,0.55056,0.62284,0.76621,0.275285,0.31142,0.274955,5.79,10.7,4.32,5.66,5.11,0.56204,0.35605,0.0,0.25906,0.0,0.53019
dj,17,0.15034,0.25068,0.18589,0.54545,0.87327,0.87773,0.33684,0.14545,0.45622,0.24358999999999997,0.198065,0.39483999999999997,0.9,0.57,3.22,4.27,4.1,0.40323,0.51562,0.00147,0.37822,0.0,0.32143
realamprandom,9,0.01915,0.00016,0.00916,0.63892,0.86868,0.95599,0.44407,0.49096,0.69444,0.23161,0.24556,0.35002999999999995,7.43,1.3,3.81,4.26,1.33,0.44894,0.22768,0.00562,0.81538,4e-05,0.69444
twolocalrandom,6,0.21649,0.17588,0.19123,0.76712,0.87317,0.82353,0.48235,0.35152,0.53333,0.34942,0.2637,0.322695,3.73,0.47,3.77,2.77,2.25,0.29193,0.38783,0.11206,0.82353,0.11206,0.53333
qpeinexact,9,0.10297,0.04406,0.07544,0.57216,0.86749,0.85237,0.24096,0.39556,0.46429,0.171965,0.21981,0.238735,1.88,0.92,4.31,3.63,2.38,0.37719,0.41985,0.01318,0.85237,0.01318,0.46429
dj,7,0.46557,0.61459,0.68145,0.53488,0.88235,0.91304,0.0,0.0,0.375,0.232785,0.307295,0.585635,2.03,0.22,3.23,2.71,4.44,0.0,0.91304,0.2327,0.48387,0.68145,0.0
portfoliovqe,7,0.04774,0.00451,0.13512,0.67919,0.86642,0.89535,0.46341,0.44809,0.60317,0.255575,0.2263,0.31387,3.39,0.73,11.43,0.42,2.68,0.51429,0.67391,0.02457,0.89535,0.02457,0.60317
qpeinexact,17,0.0,0.0,8e-05,0.4665,0.86478,0.86771,0.5311,0.61496,0.68575,0.26555,0.30748,0.29157,1.98,11.4,9.22,3.95,8.69,0.62225,0.36459,0.0,0.24483,0.0,0.55043
portfoliovqe,12,0.0,0.0,5e-05,0.62954,0.86472,0.83269,0.54897,0.61356,0.66667,0.274485,0.30678,0.32480499999999995,1.64,9.55,6.18,1.24,7.97,0.50665,0.33711,0.0,0.49485,0.0,0.71694
ghz,20,0.41648,0.40614,0.26321,0.54762,0.92369,0.87215,0.0,0.0,0.46341,0.20824,0.20307,0.36557,14.69,0.21,9.44,1.66,4.63,0.45122,0.21905,0.0056,0.10088,0.00514,0.21429
wstate,10,0.54872,0.67285,0.69269,0.78313,0.91,0.88387,0.38889,0.38889,0.38889,0.468805,0.53087,0.547975,11.91,0.24,17.29,0.2,1.49,0.33333,0.85906,0.36264,0.88387,0.36264,0.38889
vqe,19,0.24431,0.16396,0.27613,0.86517,0.91892,0.90924,0.44444,0.44444,0.61789,0.344375,0.3042,0.4466,1.64,0.4,14.41,1.05,4.78,0.58667,0.76115,0.0,0.89442,0.00015,0.52632
qpeinexact,10,0.0539,0.02614,0.03799,0.52442,0.86749,0.85239,0.3125,0.45736,0.5,0.1832,0.24175,0.252605,1.45,6.15,8.36,1.71,0.1,0.47778,0.42308,0.00521,0.85239,0.00521,0.5
portfolioqaoa,8,0.00276,0.0001,0.03117,0.47059,0.8645,0.90498,0.39722,0.48958,0.65476,0.19999,0.24484,0.21451499999999998,8.12,1.46,9.5,1.1,1.32,0.56452,0.3961,0.00577,0.90498,0.00577,0.65476
qft,3,0.88352,0.60381,0.86463,0.58621,0.8835,0.92453,0.0,0.0,0.0,0.44176,0.301905,0.424195,0.15,0.11,7.02,4.01,1.44,0.0,0.58621,0.82284,0.52941,0.22776,0.0
ghz,5,0.87527,0.86478,0.81391,0.66667,0.92593,0.85185,0.0,0.0,0.0,0.437635,0.43239,0.406955,0.03,0.07,7.08,1.66,2.78,0.0,0.85185,0.72969,0.93846,0.81391,0.0
twolocalrandom,11,0.0,0.0,0.00071,0.45606,0.86772,0.8125,0.46088,0.63198,0.75152,0.23044,0.31599,0.37595,3.29,11.26,4.48,0.92,8.37,0.53427,0.24735,0.00038,0.8125,0.00038,0.75152
dj,14,0.3918,0.35471,0.04437,0.67333,0.8739,0.88292,0.08163,0.06977,0.22388,0.23671499999999998,0.21224,0.38837499999999997,6.38,0.32,13.07,3.09,2.36,0.61468,0.55328,0.19076,0.58385,0.00121,0.21311
graphstate,7,0.35077,0.64165,0.63341,0.42157,0.88889,0.93421,0.32203,0.18182,0.37838,0.33640000000000003,0.411735,0.428615,0.22,0.21,1.37,1.61,11.17,0.14286,0.91667,0.41767,0.65421,0.22141,0.4
wstate,3,0.85378,0.88981,0.88362,0.8,0.91304,0.95238,0.0,0.0,0.0,0.42689,0.444905,0.460565,0.1,0.07,2.16,1.21,8.29,0.0,0.9,0.92113,0.9,0.44871,0.0
qft,13,2e-05,9e-05,0.02171,0.42593,0.86562,0.86965,0.48157,0.70345,0.7393,0.240795,0.35177,0.364105,1.37,5.74,2.57,2.34,5.59,0.60094,0.38081,0.0,0.27058,0.0,0.45305
graphstate,20,0.0942,0.15842,0.05675,0.54651,0.89249,0.84768,0.74359,0.66038,0.76591,0.418895,0.4094,0.43906,0.86,0.61,14.36,3.45,2.16,0.58268,0.49603,2e-05,0.3125,1e-05,0.66304
qpeinexact,8,0.09747,0.01721,0.23012,0.48923,0.87018,0.85393,0.31325,0.29032,0.4,0.20536,0.153765,0.27294,1.08,0.77,3.37,13.08,1.55,0.39597,0.47163,0.03465,0.85393,0.03465,0.4
ghz,11,0.68734,0.71143,0.60473,0.58333,0.92424,0.84127,0.0,0.0,0.43548,0.34367,0.355715,0.374975,0.28,0.11,1.52,13.69,2.7,0.0,0.84127,0.22584,0.10145,0.60473,0.0
qftentangled,2,0.94102,0.92579,0.89981,0.88235,0.93103,0.93023,0.0,0.0,0.0,0.47051,0.462895,0.449905,0.26,0.03,1.41,1.45,2.23,0.0,0.7,0.89468,0.66667,0.4239,0.0
qpeexact,7,0.27649,0.28574,0.34919,0.61947,0.87228,0.85449,0.33721,0.30851,0.42553,0.30685,0.297125,0.25659,0.16,0.47,4.69,2.66,13.39,0.34043,0.77404,0.08765,0.85449,0.08765,0.42553
vqe,5,0.80542,0.81668,0.65212,0.89041,0.92381,0.86667,0.25,0.25,0.25,0.52771,0.5333399999999999,0.45106,0.04,0.09,1.93,0.45,2.16,0.25,0.86667,0.65212,0.86667,0.65212,0.25
su2random,7,0.08198,0.00435,0.06204,0.70265,0.87474,0.83333,0.45833,0.44809,0.60317,0.27015500000000003,0.22622,0.32367999999999997,1.36,0.69,12.9,0.18,0.16,0.40586,0.3324,0.04419,0.83333,0.04419,0.60317
ghz,16,0.50032,0.38077,0.43266,0.55882,0.92386,0.87903,0.0,0.0,0.44681,0.25016,0.190385,0.396885,0.56,0.18,11.17,0.13,1.36,0.36111,0.34545,0.01621,0.11875,0.03762,0.0
qftentangled,15,5e-05,0.0,0.00532,0.4004,0.86611,0.86728,0.59022,0.60719,0.73394,0.295135,0.303595,0.365985,1.82,6.19,5.08,1.71,1.28,0.72106,0.67083,0.0,0.23744,0.0,0.57709
qftentangled,2,0.94102,0.92579,0.73332,0.88235,0.93103,0.93023,0.0,0.0,0.0,0.47051,0.462895,0.449905,0.33,0.03,4.94,0.39,1.32,0.0,0.85366,0.91805,0.94118,0.4239,0.0
graphstate,18,0.06663,0.29888,0.25204,0.45492,0.89157,0.84507,0.56391,0.66667,0.72934,0.31527,0.48277499999999995,0.42252999999999996,0.66,0.48,4.84,0.99,0.93,0.69048,0.65854,0.00023,0.33898,4e-05,0.48485
qgan,4,0.79464,0.56172,0.8076,0.85526,0.89286,0.92683,0.09091,0.0,0.16667,0.44277500000000003,0.28086,0.43741,0.1,0.12,3.77,1.41,0.93,0.0,0.85366,0.65862,0.92683,0.65862,0.16667
graphstate,16,0.34196,0.13885,0.36892,0.69784,0.88217,0.84419,0.69048,0.64474,0.75122,0.51622,0.391795,0.518685,0.35,0.44,2.02,3.93,0.17,0.55172,0.71287,0.00247,0.43836,0.00032,0.74545
vqe,17,0.27892,0.21378,0.34369,0.86087,0.91919,0.89956,0.4375,0.4375,0.52759,0.35821000000000003,0.32564,0.4397,1.67,0.39,1.92,4.55,0.53,0.53571,0.78868,0.00058,0.48399,0.0,0.52174
wstate,18,0.2819,0.17545,0.30797,0.78065,0.90957,0.87294,0.44118,0.44118,0.57047,0.36154,0.308315,0.44469499999999995,0.7,0.36,13.06,2.71,5.38,0.55224,0.74131,0.00094,0.49406,0.0,0.27
qpeinexact,5,0.40707,0.41306,0.6257,0.62037,0.87664,0.85635,0.12195,0.17021,0.22034,0.26451,0.291635,0.34129000000000004,0.37,0.28,11.33,0.77,4.13,0.12195,0.59,0.34345,0.5,0.25852,0.19231
realamprandom,5,0.42466,0.11178,0.24133,0.64444,0.87729,0.82857,0.125,0.25287,0.43333,0.27483,0.182325,0.33137,0.17,0.38,12.77,1.2,2.3,0.38636,0.39171,0.22941,0.82857,0.22941,0.43333
qgan,2,0.95482,0.93676,0.96477,0.94737,0.94737,0.97826,0.0,0.0,0.0,0.47741,0.46838,0.482385,0.02,0.03,9.65,1.46,7.61,0.0,0.97143,0.92415,0.97368,0.65884,0.0
qpeexact,12,0.01281,3e-05,0.00391,0.48415,0.86648,0.85725,0.39665,0.51055,0.65836,0.20473,0.25528999999999996,0.28956499999999996,0.42,9.54,9.23,1.58,3.15,0.56512,0.64359,0.0,0.28586,0.0,0.46096
twolocalrandom,7,0.06579,0.00438,0.1396,0.63508,0.87247,0.82,0.44199,0.44809,0.60317,0.25389,0.226235,0.325365,0.27,0.69,5.12,0.77,1.52,0.51429,0.3617,0.04756,0.82,0.04756,0.60317
vqe,15,0.31005,0.38815,0.41259,0.875,0.92113,0.92802,0.42857,0.42857,0.45575,0.36931,0.40836,0.410745,0.34,0.29,5.99,1.25,2.79,0.37209,0.81933,0.00216,0.51502,0.00941,0.42857
su2random,11,0.0,0.0,0.00071,0.45756,0.86882,0.84375,0.46088,0.63198,0.75152,0.23044,0.31599,0.37588,0.68,11.29,3.67,0.25,1.64,0.53427,0.24735,0.00024,0.84375,0.00024,0.75152
qpeexact,11,0.00861,0.00087,0.01756,0.5719,0.86867,0.86862,0.38168,0.44828,0.544,0.195145,0.224575,0.27281,0.37,14.88,4.49,1.03,0.47,0.52117,0.73671,0.00162,0.85137,0.0,0.44041
dj,18,0.23515,0.23517,0.10963,0.67816,0.87312,0.87485,0.01786,0.18644,0.41958,0.126505,0.210805,0.34807,0.12,0.5,8.02,0.23,0.48,0.39205,0.52174,0.15837,0.46038,0.0,0.66346
ae,3,0.91915,0.68244,0.84296,0.81081,0.9011,0.91304,0.0,0.0,0.46154,0.459575,0.34122,0.434695,0.28,0.1,3.78,0.6,0.75,0.0,0.80851,0.65241,0.79528,0.68145,0.0
wstate,3,0.85378,0.88981,0.79494,0.8,0.91304,0.95238,0.0,0.0,0.0,0.42689,0.444905,0.460565,0.19,0.05,2.01,1.34,2.01,0.0,0.88889,0.9218,0.875,0.44871,0.0
ghz,9,0.75724,0.76786,0.72252,0.6,0.92453,0.84314,0.0,0.0,0.0,0.37862,0.38393,0.39984,0.09,0.09,29.31,1.07,1.47,0.0,0.52174,0.6128,0.96947,0.66768,0.0
portfolioqaoa,4,0.39359,0.1109,0.50991,0.66304,0.88412,0.92035,0.12903,0.0,0.27778,0.26131,0.05545,0.28942500000000004,0.26,0.27,29.44,1.42,1.06,0.0,0.64474,0.30107,0.92035,0.30107,0.27778
portfolioqaoa,3,0.62633,0.25623,0.64294,0.74561,0.88971,0.91892,0.0,0.0,0.0,0.313165,0.128115,0.31581,0.09,0.17,0.96,1.03,5.03,0.0,0.69697,0.67036,0.84324,0.55158,0.0
pricingcall,11,1e-05,0.00057,0.0,0.61591,0.87659,0.86053,0.34141,0.28037,0.42263,0.17071,0.14047,0.195275,0.84,1.82,4.54,0.34,3.44,0.3868,0.42097,0.0,0.43362,2e-05,0.24757
qaoa,3,0.73411,0.4147,0.69742,0.73529,0.88235,0.9214,0.0,0.0,0.0,0.367055,0.20735,0.377625,0.07,0.13,2.75,1.17,1.58,0.0,0.70833,0.67611,0.91667,0.09581,0.0
ghz,8,0.77921,0.80239,0.50227,0.61111,0.92473,0.84444,0.0,0.0,0.0,0.389605,0.401195,0.328335,0.04,0.08,2.6,0.71,1.46,0.34884,0.2037,0.65667,0.61111,0.70157,0.0
portfolioqaoa,5,0.23174,0.05195,0.2756,0.57377,0.87338,0.9225,0.11538,0.24786,0.43333,0.17356,0.149905,0.2495,0.13,0.52,2.23,3.16,1.47,0.25,0.52,0.14503,0.91429,0.0,0.34028
dj,20,0.26554,0.14628,0.00132,0.7217,0.87082,0.87658,0.05085,0.21176,0.32727,0.158195,0.17902,0.34078,0.73,0.6,16.27,0.48,0.96,0.50784,0.4015,0.08614,0.76139,0.0,0.68504
dj,19,0.26507,0.07102,0.09219,0.65049,0.87011,0.88444,0.02778,0.26882,0.375,0.14642499999999997,0.16992000000000002,0.37081,0.74,0.7,8.64,0.62,0.57,0.64943,0.42574,0.12279,0.43434,0.0,0.23077
ae,2,0.94082,0.92503,0.95213,0.875,0.91667,0.95918,0.0,0.0,0.0,0.47041,0.462515,0.476065,0.07,0.05,3.12,0.03,0.05,0.0,0.92593,0.95148,0.93103,0.58643,0.0
wstate,2,0.94102,0.92656,0.95157,0.81818,0.92,0.95349,0.0,0.0,0.0,0.47051,0.46328,0.475785,0.05,0.05,2.74,2.71,2.08,0.0,0.90476,0.91646,0.95918,0.63727,0.0
vqe,14,0.33531,0.54596,0.51398,0.87379,0.92121,0.92818,0.42308,0.42308,0.55944,0.379195,0.48452,0.453295,1.34,0.27,2.33,4.03,2.86,0.3125,0.85047,0.01434,0.61035,0.01645,0.42308
su2random,10,0.00456,1e-05,0.01103,0.65986,0.86957,0.84746,0.52571,0.60264,0.72593,0.265135,0.30132499999999995,0.36347999999999997,6.76,6.63,3.97,3.07,2.48,0.53668,0.24709,0.00103,0.84746,0.00103,0.72593
qpeexact,10,0.06177,0.01352,0.06648,0.55054,0.8673,0.85263,0.36842,0.41786,0.54082,0.215095,0.21569,0.2736,0.31,0.92,2.96,2.27,3.24,0.53077,0.42478,0.00638,0.85263,0.00638,0.54082
twolocalrandom,6,0.21649,0.17588,0.19123,0.76712,0.87317,0.82353,0.48235,0.35152,0.53333,0.34942,0.2637,0.322695,1.95,0.47,3.52,2.26,2.79,0.29193,0.38783,0.11206,0.82353,0.11206,0.53333
qpeexact,13,0.00094,1e-05,0.00405,0.44139,0.86445,0.86907,0.46467,0.61229,0.64516,0.232805,0.30615,0.298275,0.93,2.41,5.13,5.14,5.7,0.52254,0.39076,0.0,0.30507,0.0,0.51731
pricingput,7,0.0424,0.00266,0.00216,0.66102,0.87555,0.86309,0.18,0.21681,0.39,0.1112,0.109735,0.12055,2.94,1.01,39.81,3.69,3.31,0.2467,0.87919,0.00016,0.54002,0.00452,0.16667
routing,2,0.92513,0.916,0.91063,0.85714,0.89286,0.96154,0.0,0.0,0.0,0.462565,0.458,0.468165,0.02,0.03,2.4,1.04,4.87,0.0,0.93333,0.51823,0.94828,0.49853,0.0
portfoliovqe,12,0.0,0.0,0.00025,0.62954,0.86472,0.82419,0.54897,0.61356,0.72303,0.274485,0.30678,0.32480499999999995,4.24,8.16,15.04,5.11,6.56,0.5594,0.49065,0.0,0.83581,0.0,0.76
qgan,3,0.87921,0.72954,0.86245,0.84211,0.90164,0.95455,0.0,0.0,0.0,0.439605,0.36477,0.45399,0.83,0.09,6.08,4.55,2.88,0.0,0.89474,0.90798,0.89474,0.3284,0.0
realamprandom,4,0.5668,0.24887,0.65415,0.74834,0.8835,0.83636,0.13158,0.0,0.27778,0.34919,0.124435,0.3429,1.04,0.21,18.77,0.44,0.54,0.0,0.65385,0.40802,0.83636,0.40802,0.27778
qpeinexact,4,0.82743,0.39216,0.7591,0.61818,0.8835,0.86239,0.0,0.0,0.0,0.413715,0.19608,0.45932,0.38,0.18,13.26,0.46,1.21,0.0,0.65,0.43492,0.92638,0.45273,0.0
graphstate,17,0.16194,0.04897,0.24663,0.56897,0.88316,0.83794,0.42667,0.51948,0.72388,0.294305,0.284225,0.480005,0.42,0.48,2.58,2.5,3.14,0.51087,0.62449,0.0,0.85177,0.00088,0.60976
wstate,19,0.25572,0.16879,0.11477,0.78049,0.90955,0.88312,0.44444,0.44444,0.56504,0.35008,0.30661499999999997,0.23665,1.5,0.41,2.42,2.12,2.67,0.41243,0.53543,0.05572,0.55596,0.00227,0.44444
vqe,16,0.28691,0.28481,0.093,0.87179,0.92084,0.92754,0.43333,0.43333,0.55963,0.36012,0.35907,0.425195,1.15,0.31,2.84,1.69,3.42,0.52525,0.56195,0.00025,0.43911,0.00512,0.43333
qgan,5,0.6499,0.58948,0.51405,0.72,0.88235,0.92,0.14286,0.09091,0.3,0.39638,0.340195,0.40702499999999997,0.41,0.24,2.68,1.27,1.75,0.3,0.92,0.51405,0.92,0.51405,0.3
ghz,17,0.49176,0.32115,0.44933,0.55556,0.92381,0.87879,0.0,0.0,0.45918,0.24588,0.160575,0.41461000000000003,0.52,0.21,1.14,1.43,2.96,0.40385,0.27778,0.00422,0.09259,0.03221,0.0
qftentangled,14,2e-05,0.0,0.00084,0.47287,0.86565,0.86315,0.52757,0.73295,0.76585,0.263795,0.366475,0.2835,1.73,2.54,3.76,6.05,2.84,0.73084,0.37178,0.0,0.25344,0.0,0.56389
qftentangled,3,0.74757,0.69434,0.82622,0.57576,0.88235,0.85333,0.0,0.0,0.0,0.373785,0.34717,0.41311,0.44,0.13,3.5,2.16,2.79,0.0,0.58824,0.83981,0.6,0.56654,0.0
graphstate,19,0.14805,0.25134,0.1372,0.51648,0.89301,0.8466,0.57955,0.5102,0.73864,0.3638,0.38077,0.45061,0.74,0.64,2.76,2.8,3.42,0.63125,0.54286,0.00046,0.35055,2e-05,0.65823
qftentangled,3,0.74757,0.69434,0.81229,0.57576,0.88235,0.63158,0.0,0.0,0.40541,0.373785,0.34717,0.41311,0.4,0.17,2.48,2.65,6.11,0.0,0.58824,0.0939,0.45985,0.8057,0.0
